feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,Label
21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19
21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19
21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19
21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19
21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19
21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19
21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19
21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19
21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19
21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19
21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19
21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19
21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19
21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19
21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19
21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19
21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,22.14
22.14,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,22.28
22.28,22.14,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,22.32
22.32,22.28,22.14,21.19,21.19,21.19,21.19,21.19,21.19,21.19,22.28
22.28,22.32,22.28,22.14,21.19,21.19,21.19,21.19,21.19,21.19,22.13
22.13,22.28,22.32,22.28,22.14,21.19,21.19,21.19,21.19,21.19,22.09
22.09,22.13,22.28,22.32,22.28,22.14,21.19,21.19,21.19,21.19,22.09
22.09,22.09,22.13,22.28,22.32,22.28,22.14,21.19,21.19,21.19,22.12
22.12,22.09,22.09,22.13,22.28,22.32,22.28,22.14,21.19,21.19,22.14
22.14,22.12,22.09,22.09,22.13,22.28,22.32,22.28,22.14,21.19,22.24
22.24,22.14,22.12,22.09,22.09,22.13,22.28,22.32,22.28,22.14,22.3
22.3,22.24,22.14,22.12,22.09,22.09,22.13,22.28,22.32,22.28,22.23
22.23,22.3,22.24,22.14,22.12,22.09,22.09,22.13,22.28,22.32,22.27
22.27,22.23,22.3,22.24,22.14,22.12,22.09,22.09,22.13,22.28,22.27
22.27,22.27,22.23,22.3,22.24,22.14,22.12,22.09,22.09,22.13,22.32
